Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,Continent,% Deaths COVID/Population,Date vaccinated update,Fully vaccinated,% Fully vaccinated,Year_GDP_update,GDP_Annual (M),Temperature_1961_1990
UZBEKISTAN,186793,+272,1329,+2,182824,+398,2640,23,39,1377915,34116629,Asia,0.0,02/11/2021,5882086,0.17,2020,52467,12.05
ALBANIA,186222,,2937,,175451,,7834,3,1022,1311540,2873596,Europe,0.1,02/11/2021,887865,0.31,2020,13069,11.40
KYRGYZSTAN,181499,+74,2676,+2,175892,+97,2931,131,401,1779580,6667825,Asia,0.04,02/11/2021,758105,0.12,2020,6783,01.55
AUSTRALIA,174276,+1111,1768,+12,148491,,24017,187,68,43828060,25894935,Australia/Oceania,0.01,02/11/2021,16678894,0.65,2020,1182484,21.65
FINLAND,160948,+1150,1176,+6,46000,,113772,32,212,7512678,5552225,Europe,0.02,02/11/2021,3883069,0.7,2020,236169,01.70
AFGHANISTAN,156323,+16,7284,+3,128848,+57,20191,1124,182,775161,40097200,Asia,0.02,02/11/2021,2057313,0.05,2020,17341,12.60
MOZAMBIQUE,151325,+9,1932,,149253,+5,140,32,60,945519,32421978,Africa,0.01,02/11/2021,2203587,0.07,2020,12276,23.80
MONTENEGRO,145936,+622,2119,+6,139089,+440,4728,51,3373,824939,628172,Europe,0.34,02/11/2021,243438,0.39,2020,4186,10.55
ZIMBABWE,133047,,4683,,127779,,585,12,309,1514527,15151708,Africa,0.03,02/11/2021,2610380,0.18,2020,14681,21.00
GHANA,130287,,1182,,127396,,1709,40,37,1873852,31937898,Africa,0.0,02/11/2021,830643,0.03,2020,63347,27.20
NAMIBIA,128963,+7,3557,+1,124732,+78,674,1,1367,754537,2602293,Africa,0.14,02/11/2021,253232,0.1,2020,9377,19.95
UGANDA,126321,+49,3219,+2,96759,+32,26343,162,68,1820976,47664404,Africa,0.01,02/11/2021,415486,0.01,2020,33393,22.80
CYPRUS,123439,+188,576,,90755,,32108,18,472,9420908,1219100,Asia,0.05,02/11/2021,570471,0.64,2020,21548,18.45
CAMBODIA,118787,+85,2807,+7,115111,+94,869,,165,2638255,17027826,Asia,0.02,02/11/2021,13065834,0.78,2020,22056,26.80
