Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,% Deaths COVID/Population,Date vaccinated,Fully vaccinated,% Fully vaccinated
UKRAINE,2578394,+16309,59523,+471,2304361,+6462,214510,177,1372,13379666,43397369,0.14,12/10/2021,6198086,14.96%
MALAYSIA,2353579,,27525,,2217057,,108997,722,837,31783248,32895824,0.08,12/10/2021,21437380,65.91%
PERU,2185355,,199727,,N/A,N/A,N/A,927,5952,18324467,33558587,0.6,12/10/2021,12727915,39.15%
NETHERLANDS,2029289,,18215,,1952699,,58375,149,1060,17632552,17183376,0.11,12/10/2021,11605975,66.41%
IRAQ,2026349,,22620,,1952043,,51686,297,547,15432035,41373957,0.05,12/10/2021,2932292,7.46%
THAILAND,1740428,+10064,17917,+82,1615343,+10988,107168,3324,256,9201621,70024045,0.03,12/10/2021,23055555,33.11%
JAPAN,1711935,+611,17986,+27,1683921,+1469,10028,413,143,25521756,125980874,0.01,12/10/2021,82049243,65.02%
CZECHIA,1705532,+1511,30518,+2,1662742,+23,12272,78,2843,38989926,10734399,0.28,12/10/2021,6005762,56.12%
CANADA,1667575,,28289,,1601860,,37426,776,741,44572076,38165188,0.07,12/10/2021,27431198,72.18%
CHILE,1663992,,37574,,1617792,,8626,362,1944,22464264,19325976,0.19,12/10/2021,14215986,74.40%
BANGLADESH,1563501,,27713,,1525168,,10620,1395,166,9998544,166786548,0.02,12/10/2021,18218949,11.17%
ROMANIA,1382531,,40071,,1188975,,153485,1667,2101,13583662,19073377,0.21,12/10/2021,5531778,28.83%
ISRAEL,1310670,+562,7959,+2,1278736,+940,23975,412,853,27956176,9326000,0.09,12/10/2021,5687293,62.84%
BELGIUM,1269002,+2440,25713,+18,1181547,,61742,197,2206,20561955,11654137,0.22,12/10/2021,8470856,73.24%
PAKISTAN,1260669,+1021,28173,+21,1191425,+1683,41071,2257,124,19997075,226366795,0.01,12/10/2021,34299139,16.44%
SWEDEN,1159560,,14879,,1124627,,20054,29,1462,12743845,10179794,0.15,12/10/2021,6721017,64.75%
PORTUGAL,1076358,,18056,,1028465,,29837,56,1777,19078687,10158654,0.18,12/10/2021,8729560,84.77%
SERBIA,1017798,,8841,,884235,,124722,269,1017,5898089,8692319,0.1,12/10/2021,2929468,42.63%
MOROCCO,939922,,14485,,919074,,6363,347,387,9863162,37469604,0.04,12/10/2021,20098752,55.11%
KAZAKHSTAN,908847,+1707,11613,+29,850849,+1958,46385,221,609,11575012,19063698,0.06,12/10/2021,6901313,37.04%
SWITZERLAND,851609,,11153,,796935,,43521,139,1277,11235990,8735548,0.13,12/10/2021,5207485,60.08%
VIETNAM,846230,,20763,,786095,,39372,,211,42517091,98458158,0.02,12/10/2021,15581428,16.15%
JORDAN,835969,,10827,,811013,,14129,469,1048,10404370,10332601,0.1,12/10/2021,3369508,33.36%
HUNGARY,830725,+814,30330,+10,789705,+383,10690,116,3150,7093879,9628955,0.31,12/10/2021,5682396,58.40%
NEPAL,803552,,11257,,777741,,14554,,378,4303231,29805839,0.04,12/10/2021,6462776,22.59%
AUSTRIA,766542,+2614,11135,+15,735565,+2128,19842,213,1227,91294829,9072116,0.12,12/10/2021,5483648,61.39%
UAE,738026,,2115,,731469,,4442,,211,87596605,10043095,0.02,12/10/2021,8426682,78.40%
TUNISIA,710096,,25046,,682953,,2097,205,2091,3001094,11976675,0.21,12/10/2021,4095504,34.76%
GREECE,682394,,15210,,640590,,26594,336,1468,22434404,10357877,0.15,12/10/2021,6255864,58.56%
GEORGIA,645195,+4837,9332,+26,605581,+1586,30282,,2345,9393871,3979367,0.23,12/10/2021,879630,23.67%
LEBANON,630950,,8394,,605104,,17452,200,1237,4780275,6786317,0.12,12/10/2021,1364037,19.90%
GUATEMALA,581498,,14118,,551431,,15949,5,770,2701561,18338622,0.08,12/10/2021,2806436,15.93%
BELARUS,561753,,4319,,535790,,21644,,457,8903439,9445346,0.05,12/10/2021,1627673,17.30%
COSTA RICA,547914,,6718,,464073,,77123,392,1304,2394098,5153581,0.13,12/10/2021,2290280,45.13%
SAUDI ARABIA,547704,,8751,,536724,,2229,122,246,29484705,35506298,0.02,12/10/2021,20121377,59.04%
BULGARIA,527802,,21906,,451831,,54065,485,3183,5008197,6881469,0.32,12/10/2021,1365088,19.74%
SRI LANKA,527735,,13377,,490800,,23558,,621,5348696,21528089,0.06,12/10/2021,12398451,56.87%
ECUADOR,512071,,32848,,443880,,35343,759,1826,1871819,17985226,0.18,12/10/2021,9978130,57.78%
BOLIVIA,504601,+480,18806,+3,466104,+530,19691,220,1583,2451232,11876436,0.16,12/10/2021,3465762,30.10%
AZERBAIJAN,494067,,6692,,474514,,12861,,652,4969881,10256002,0.07,12/10/2021,4107885,40.60%
PANAMA,469440,,7275,,459657,,2508,49,1653,3953247,4401510,0.17,12/10/2021,2316857,54.14%
PARAGUAY,460244,,16207,,443856,,181,14,2237,1860687,7244486,0.22,12/10/2021,1998274,27.94%
SLOVAKIA,429886,+2406,12772,+20,398328,+1442,18786,188,2338,3722228,5463026,0.23,12/10/2021,2273858,41.65%
CROATIA,419035,,8802,,402165,,8068,140,2161,2924958,4072854,0.22,12/10/2021,1633894,40.48%
PALESTINE,415182,,4264,,395221,,15697,71,812,2551938,5252682,0.08,25/04/2021,43880,0.86%
KUWAIT,412158,,2455,,409087,,616,9,564,4500182,4351241,0.06,12/10/2021,923307,21.95%
IRELAND,405970,,5280,,361379,,39311,73,1054,7686398,5008274,0.11,12/10/2021,3697101,73.84%
URUGUAY,390234,,6064,,382844,,1326,13,1738,3666188,3489130,0.17,12/10/2021,2598784,75.07%
VENEZUELA,385952,,4652,,365941,,15359,681,164,3359014,28332813,0.02,12/10/2021,6190629,21.71%
HONDURAS,370968,+706,10045,+35,112500,+205,248423,253,994,1063681,10105781,0.1,12/10/2021,2481005,25.39%
DOMINICAN REPUBLIC,366711,,4072,,355023,,7616,207,371,2115185,10986952,0.04,12/10/2021,4973191,48.01%
DENMARK,365051,,2674,,355181,,7196,17,460,84399258,5818294,0.05,12/10/2021,4388221,75.14%
LITHUANIA,357801,+2493,5308,+17,321637,+1729,30856,234,1985,5212710,2673628,0.2,12/10/2021,1637461,58.57%
ETHIOPIA,355843,,6066,,324988,,24789,715,51,3564836,118595058,0.01,12/10/2021,917866,0.82%
LIBYA,347364,,4808,,272917,,69639,,688,1719728,6990658,0.07,17/04/2021,0,
S. KOREA,335742,+1584,2605,+11,302066,+2806,31071,359,51,15062420,51325641,0.01,12/10/2021,584013,1.13%
MONGOLIA,330869,+2565,1482,+17,300074,,29313,192,443,4022930,3345708,0.04,12/10/2021,2134111,64.73%
EGYPT,314116,,17765,,264764,,31587,90,170,3693367,104798141,0.02,12/10/2021,6602177,6.54%
MOLDOVA,308724,,7076,,288915,,12733,162,1759,1863784,4021963,0.18,12/10/2021,812959,30.31%
OMAN,303999,,4103,,299334,,562,6,778,25000000,5272230,0.08,12/10/2021,2294880,49.69%
SLOVENIA,302654,,4618,,286382,,11654,78,2221,1626242,2079304,0.22,12/10/2021,1047115,49.65%
ARMENIA,275077,+1217,5646,+28,250576,+521,18855,,1901,1827100,2970329,0.19,12/10/2021,170212,5.74%
KENYA,251313,,5195,,244533,,1585,46,94,2613052,55282414,0.01,12/10/2021,1047852,2.20%
BOSNIA AND HERZEGOVINA,241946,,11009,,192218,,38719,,3383,1256450,3254691,0.34,12/10/2021,508008,15.39%
QATAR,237579,,607,,236006,,966,10,216,2729471,2807805,0.02,12/10/2021,2218292,78.33%
ZAMBIA,209396,,3654,,205521,,221,22,192,2515493,19040180,0.02,12/10/2021,462835,2.53%
NIGERIA,208153,,2756,,195936,,9461,11,13,3090114,212655051,0.0,12/10/2021,2166186,1.08%
ALGERIA,204790,,5859,,140392,,58539,13,131,230861,44861926,0.01,12/10/2021,4032942,9.29%
